name|label|concept
B01001_049|estimate, total, female, 85 years and over|sex by age
B01002_001|estimate, median age --, total|median age by sex
B01002_002|estimate, median age --, male|median age by sex
B01002_003|estimate, median age --, female|median age by sex
B01003_001|estimate, total|total population
B02001_001|estimate, total|race
B02001_002|estimate, total, white alone|race
B02001_003|estimate, total, black or african american alone|race
B02001_004|estimate, total, american indian and alaska native alone|race
B02001_005|estimate, total, asian alone|race
B02001_006|estimate, total, native hawaiian and other pacific islander alone|race
B02001_007|estimate, total, some other race alone|race
B02001_008|estimate, total, two or more races|race
B02001_009|estimate, total, two or more races, two races including some other race|race
B02001_010|estimate, total, two or more races, two races excluding some other race, and three or more races|race
B04004_001|estimate, total|people reporting single ancestry
B04004_002|estimate, total, afghan|people reporting single ancestry
B04004_003|estimate, total, albanian|people reporting single ancestry
B04004_004|estimate, total, alsatian|people reporting single ancestry
B04004_005|estimate, total, american|people reporting single ancestry
B04004_006|estimate, total, arab|people reporting single ancestry
B04004_007|estimate, total, arab, egyptian|people reporting single ancestry
B04004_008|estimate, total, arab, iraqi|people reporting single ancestry
B04004_009|estimate, total, arab, jordanian|people reporting single ancestry
B04004_010|estimate, total, arab, lebanese|people reporting single ancestry
B04004_011|estimate, total, arab, moroccan|people reporting single ancestry
B04004_012|estimate, total, arab, palestinian|people reporting single ancestry
B04004_013|estimate, total, arab, syrian|people reporting single ancestry
B04004_014|estimate, total, arab, arab|people reporting single ancestry
B04004_015|estimate, total, arab, other arab|people reporting single ancestry
B04004_016|estimate, total, armenian|people reporting single ancestry
B04004_017|estimate, total, assyrian/chaldean/syriac|people reporting single ancestry
B04004_018|estimate, total, australian|people reporting single ancestry
B04004_019|estimate, total, austrian|people reporting single ancestry
B04004_020|estimate, total, basque|people reporting single ancestry
B04004_021|estimate, total, belgian|people reporting single ancestry
B04004_022|estimate, total, brazilian|people reporting single ancestry
B04004_023|estimate, total, british|people reporting single ancestry
B04004_024|estimate, total, bulgarian|people reporting single ancestry
B04004_025|estimate, total, cajun|people reporting single ancestry
B04004_026|estimate, total, canadian|people reporting single ancestry
B04004_027|estimate, total, carpatho rusyn|people reporting single ancestry
B04004_028|estimate, total, celtic|people reporting single ancestry
B04004_029|estimate, total, croatian|people reporting single ancestry
B04004_030|estimate, total, cypriot|people reporting single ancestry
B04004_031|estimate, total, czech|people reporting single ancestry
B04004_032|estimate, total, czechoslovakian|people reporting single ancestry
B04004_033|estimate, total, danish|people reporting single ancestry
B04004_034|estimate, total, dutch|people reporting single ancestry
B04004_035|estimate, total, eastern european|people reporting single ancestry
B04004_036|estimate, total, english|people reporting single ancestry
B04004_037|estimate, total, estonian|people reporting single ancestry
B04004_038|estimate, total, european|people reporting single ancestry
B04004_039|estimate, total, finnish|people reporting single ancestry
B04004_040|estimate, total, french (except basque)|people reporting single ancestry
B04004_041|estimate, total, french canadian|people reporting single ancestry
B04004_042|estimate, total, german|people reporting single ancestry
B04004_043|estimate, total, german russian|people reporting single ancestry
B04004_044|estimate, total, greek|people reporting single ancestry
B04004_045|estimate, total, guyanese|people reporting single ancestry
B04004_046|estimate, total, hungarian|people reporting single ancestry
B04004_047|estimate, total, icelander|people reporting single ancestry
B04004_048|estimate, total, iranian|people reporting single ancestry
B04004_049|estimate, total, irish|people reporting single ancestry
B04004_050|estimate, total, israeli|people reporting single ancestry
B04004_051|estimate, total, italian|people reporting single ancestry
B04004_052|estimate, total, latvian|people reporting single ancestry
B04004_053|estimate, total, lithuanian|people reporting single ancestry
B04004_054|estimate, total, luxemburger|people reporting single ancestry
B04004_055|estimate, total, macedonian|people reporting single ancestry
B04004_056|estimate, total, maltese|people reporting single ancestry
B04004_057|estimate, total, new zealander|people reporting single ancestry
B04004_058|estimate, total, northern european|people reporting single ancestry
B04004_059|estimate, total, norwegian|people reporting single ancestry
B04004_060|estimate, total, pennsylvania german|people reporting single ancestry
B04004_061|estimate, total, polish|people reporting single ancestry
B04004_062|estimate, total, portuguese|people reporting single ancestry
B04004_063|estimate, total, romanian|people reporting single ancestry
B04004_064|estimate, total, russian|people reporting single ancestry
B04004_065|estimate, total, scandinavian|people reporting single ancestry
B04004_066|estimate, total, scotch-irish|people reporting single ancestry
B04004_067|estimate, total, scottish|people reporting single ancestry
B04004_068|estimate, total, serbian|people reporting single ancestry
B04004_069|estimate, total, slavic|people reporting single ancestry
B04004_070|estimate, total, slovak|people reporting single ancestry
B04004_071|estimate, total, slovene|people reporting single ancestry
B04004_072|estimate, total, soviet union|people reporting single ancestry
B04004_073|estimate, total, subsaharan african|people reporting single ancestry
B04004_074|estimate, total, subsaharan african, cape verdean|people reporting single ancestry
B04004_075|estimate, total, subsaharan african, ethiopian|people reporting single ancestry
B04004_076|estimate, total, subsaharan african, ghanaian|people reporting single ancestry
B04004_077|estimate, total, subsaharan african, kenyan|people reporting single ancestry
B04004_078|estimate, total, subsaharan african, liberian|people reporting single ancestry
B04004_079|estimate, total, subsaharan african, nigerian|people reporting single ancestry
B04004_080|estimate, total, subsaharan african, senegalese|people reporting single ancestry
B04004_081|estimate, total, subsaharan african, sierra leonean|people reporting single ancestry
B04004_082|estimate, total, subsaharan african, somali|people reporting single ancestry
B04004_083|estimate, total, subsaharan african, south african|people reporting single ancestry
B04004_084|estimate, total, subsaharan african, sudanese|people reporting single ancestry
B04004_085|estimate, total, subsaharan african, ugandan|people reporting single ancestry
B04004_086|estimate, total, subsaharan african, zimbabwean|people reporting single ancestry
B04004_087|estimate, total, subsaharan african, african|people reporting single ancestry
B04004_088|estimate, total, subsaharan african, other subsaharan african|people reporting single ancestry
B04004_089|estimate, total, swedish|people reporting single ancestry
B04004_090|estimate, total, swiss|people reporting single ancestry
B04004_091|estimate, total, turkish|people reporting single ancestry
B04004_092|estimate, total, ukrainian|people reporting single ancestry
B04004_093|estimate, total, welsh|people reporting single ancestry
B04004_094|estimate, total, west indian (except hispanic groups)|people reporting single ancestry
B04004_095|estimate, total, west indian (except hispanic groups), bahamian|people reporting single ancestry
B04004_096|estimate, total, west indian (except hispanic groups), barbadian|people reporting single ancestry
B04004_097|estimate, total, west indian (except hispanic groups), belizean|people reporting single ancestry
B04004_098|estimate, total, west indian (except hispanic groups), bermudan|people reporting single ancestry
B04004_099|estimate, total, west indian (except hispanic groups), british west indian|people reporting single ancestry
B04004_100|estimate, total, west indian (except hispanic groups), dutch west indian|people reporting single ancestry
B04004_101|estimate, total, west indian (except hispanic groups), haitian|people reporting single ancestry
B04004_102|estimate, total, west indian (except hispanic groups), jamaican|people reporting single ancestry
B04004_103|estimate, total, west indian (except hispanic groups), trinidadian and tobagonian|people reporting single ancestry
B04004_104|estimate, total, west indian (except hispanic groups), u.s. virgin islander|people reporting single ancestry
B04004_105|estimate, total, west indian (except hispanic groups), west indian|people reporting single ancestry
B04004_106|estimate, total, west indian (except hispanic groups), other west indian|people reporting single ancestry
B04004_107|estimate, total, yugoslavian|people reporting single ancestry
B04004_108|estimate, total, other groups|people reporting single ancestry
B04005_001|estimate, total|people reporting multiple ancestry
B04005_002|estimate, total, afghan|people reporting multiple ancestry
B04005_003|estimate, total, albanian|people reporting multiple ancestry
B04005_004|estimate, total, alsatian|people reporting multiple ancestry
B04005_005|estimate, total, american|people reporting multiple ancestry
B04005_006|estimate, total, arab|people reporting multiple ancestry
B04005_007|estimate, total, arab, egyptian|people reporting multiple ancestry
B04005_008|estimate, total, arab, iraqi|people reporting multiple ancestry
B04005_009|estimate, total, arab, jordanian|people reporting multiple ancestry
B04005_010|estimate, total, arab, lebanese|people reporting multiple ancestry
B04005_011|estimate, total, arab, moroccan|people reporting multiple ancestry
B04005_012|estimate, total, arab, palestinian|people reporting multiple ancestry
B04005_013|estimate, total, arab, syrian|people reporting multiple ancestry
B04005_014|estimate, total, arab, arab|people reporting multiple ancestry
B04005_015|estimate, total, arab, other arab|people reporting multiple ancestry
B04005_016|estimate, total, armenian|people reporting multiple ancestry
B04005_017|estimate, total, assyrian/chaldean/syriac|people reporting multiple ancestry
B04005_018|estimate, total, australian|people reporting multiple ancestry
B04005_019|estimate, total, austrian|people reporting multiple ancestry
B04005_020|estimate, total, basque|people reporting multiple ancestry
B04005_021|estimate, total, belgian|people reporting multiple ancestry
B04005_022|estimate, total, brazilian|people reporting multiple ancestry
B04005_023|estimate, total, british|people reporting multiple ancestry
B04005_024|estimate, total, bulgarian|people reporting multiple ancestry
B04005_025|estimate, total, cajun|people reporting multiple ancestry
B04005_026|estimate, total, canadian|people reporting multiple ancestry
B04005_027|estimate, total, carpatho rusyn|people reporting multiple ancestry
B04005_028|estimate, total, celtic|people reporting multiple ancestry
B04005_029|estimate, total, croatian|people reporting multiple ancestry
B04005_030|estimate, total, cypriot|people reporting multiple ancestry
B04005_031|estimate, total, czech|people reporting multiple ancestry
B04005_032|estimate, total, czechoslovakian|people reporting multiple ancestry
B04005_033|estimate, total, danish|people reporting multiple ancestry
B04005_034|estimate, total, dutch|people reporting multiple ancestry
B04005_035|estimate, total, eastern european|people reporting multiple ancestry
B04005_036|estimate, total, english|people reporting multiple ancestry
B04005_037|estimate, total, estonian|people reporting multiple ancestry
B04005_038|estimate, total, european|people reporting multiple ancestry
B04005_039|estimate, total, finnish|people reporting multiple ancestry
B04005_040|estimate, total, french (except basque)|people reporting multiple ancestry
B04005_041|estimate, total, french canadian|people reporting multiple ancestry
B04005_042|estimate, total, german|people reporting multiple ancestry
B04005_043|estimate, total, german russian|people reporting multiple ancestry
B04005_044|estimate, total, greek|people reporting multiple ancestry
B04005_045|estimate, total, guyanese|people reporting multiple ancestry
B04005_046|estimate, total, hungarian|people reporting multiple ancestry
B04005_047|estimate, total, icelander|people reporting multiple ancestry
B04005_048|estimate, total, iranian|people reporting multiple ancestry
B04005_049|estimate, total, irish|people reporting multiple ancestry
B04005_050|estimate, total, israeli|people reporting multiple ancestry
B04005_051|estimate, total, italian|people reporting multiple ancestry
B04005_052|estimate, total, latvian|people reporting multiple ancestry
B04005_053|estimate, total, lithuanian|people reporting multiple ancestry
B04005_054|estimate, total, luxemburger|people reporting multiple ancestry
B04005_055|estimate, total, macedonian|people reporting multiple ancestry
B04005_056|estimate, total, maltese|people reporting multiple ancestry
B04005_057|estimate, total, new zealander|people reporting multiple ancestry
B04005_058|estimate, total, northern european|people reporting multiple ancestry
B04005_059|estimate, total, norwegian|people reporting multiple ancestry
B04005_060|estimate, total, pennsylvania german|people reporting multiple ancestry
B04005_061|estimate, total, polish|people reporting multiple ancestry
B04005_062|estimate, total, portuguese|people reporting multiple ancestry
B04005_063|estimate, total, romanian|people reporting multiple ancestry
B04005_064|estimate, total, russian|people reporting multiple ancestry
B04005_065|estimate, total, scandinavian|people reporting multiple ancestry
B04005_066|estimate, total, scotch-irish|people reporting multiple ancestry
B04005_067|estimate, total, scottish|people reporting multiple ancestry
B04005_068|estimate, total, serbian|people reporting multiple ancestry
B04005_069|estimate, total, slavic|people reporting multiple ancestry
B04005_070|estimate, total, slovak|people reporting multiple ancestry
B04005_071|estimate, total, slovene|people reporting multiple ancestry
B04005_072|estimate, total, soviet union|people reporting multiple ancestry
B04005_073|estimate, total, subsaharan african|people reporting multiple ancestry
B04005_074|estimate, total, subsaharan african, cape verdean|people reporting multiple ancestry
B04005_075|estimate, total, subsaharan african, ethiopian|people reporting multiple ancestry
B04005_076|estimate, total, subsaharan african, ghanaian|people reporting multiple ancestry
B04005_077|estimate, total, subsaharan african, kenyan|people reporting multiple ancestry
B04005_078|estimate, total, subsaharan african, liberian|people reporting multiple ancestry
B04005_079|estimate, total, subsaharan african, nigerian|people reporting multiple ancestry
B04005_080|estimate, total, subsaharan african, senegalese|people reporting multiple ancestry
B04005_081|estimate, total, subsaharan african, sierra leonean|people reporting multiple ancestry
B04005_082|estimate, total, subsaharan african, somali|people reporting multiple ancestry
B04005_083|estimate, total, subsaharan african, south african|people reporting multiple ancestry
B04005_084|estimate, total, subsaharan african, sudanese|people reporting multiple ancestry
B04005_085|estimate, total, subsaharan african, ugandan|people reporting multiple ancestry
B04005_086|estimate, total, subsaharan african, zimbabwean|people reporting multiple ancestry
B04005_087|estimate, total, subsaharan african, african|people reporting multiple ancestry
B04005_088|estimate, total, subsaharan african, other subsaharan african|people reporting multiple ancestry
B04005_089|estimate, total, swedish|people reporting multiple ancestry
B04005_090|estimate, total, swiss|people reporting multiple ancestry
B04005_091|estimate, total, turkish|people reporting multiple ancestry
B04005_092|estimate, total, ukrainian|people reporting multiple ancestry
B04005_093|estimate, total, welsh|people reporting multiple ancestry
B04005_094|estimate, total, west indian (except hispanic groups)|people reporting multiple ancestry
B04005_095|estimate, total, west indian (except hispanic groups), bahamian|people reporting multiple ancestry
B04005_096|estimate, total, west indian (except hispanic groups), barbadian|people reporting multiple ancestry
B04005_097|estimate, total, west indian (except hispanic groups), belizean|people reporting multiple ancestry
B04005_098|estimate, total, west indian (except hispanic groups), bermudan|people reporting multiple ancestry
B04005_099|estimate, total, west indian (except hispanic groups), british west indian|people reporting multiple ancestry
B04005_100|estimate, total, west indian (except hispanic groups), dutch west indian|people reporting multiple ancestry
B04005_101|estimate, total, west indian (except hispanic groups), haitian|people reporting multiple ancestry
B04005_102|estimate, total, west indian (except hispanic groups), jamaican|people reporting multiple ancestry
B04005_103|estimate, total, west indian (except hispanic groups), trinidadian and tobagonian|people reporting multiple ancestry
B04005_104|estimate, total, west indian (except hispanic groups), u.s. virgin islander|people reporting multiple ancestry
B04005_105|estimate, total, west indian (except hispanic groups), west indian|people reporting multiple ancestry
B04005_106|estimate, total, west indian (except hispanic groups), other west indian|people reporting multiple ancestry
B04005_107|estimate, total, yugoslavian|people reporting multiple ancestry
B04005_108|estimate, total, other groups|people reporting multiple ancestry
B04006_001|estimate, total|people reporting ancestry
B04006_002|estimate, total, afghan|people reporting ancestry
B04006_003|estimate, total, albanian|people reporting ancestry
B04006_004|estimate, total, alsatian|people reporting ancestry
B04006_005|estimate, total, american|people reporting ancestry
B04006_006|estimate, total, arab|people reporting ancestry
B04006_007|estimate, total, arab, egyptian|people reporting ancestry
B04006_008|estimate, total, arab, iraqi|people reporting ancestry
B04006_009|estimate, total, arab, jordanian|people reporting ancestry
B04006_010|estimate, total, arab, lebanese|people reporting ancestry
B04006_011|estimate, total, arab, moroccan|people reporting ancestry
B04006_012|estimate, total, arab, palestinian|people reporting ancestry
B04006_013|estimate, total, arab, syrian|people reporting ancestry
B04006_014|estimate, total, arab, arab|people reporting ancestry
B04006_015|estimate, total, arab, other arab|people reporting ancestry
B04006_016|estimate, total, armenian|people reporting ancestry
B04006_017|estimate, total, assyrian/chaldean/syriac|people reporting ancestry
B04006_018|estimate, total, australian|people reporting ancestry
B04006_019|estimate, total, austrian|people reporting ancestry
B04006_020|estimate, total, basque|people reporting ancestry
B04006_021|estimate, total, belgian|people reporting ancestry
B04006_022|estimate, total, brazilian|people reporting ancestry
B04006_023|estimate, total, british|people reporting ancestry
B04006_024|estimate, total, bulgarian|people reporting ancestry
B04006_025|estimate, total, cajun|people reporting ancestry
B04006_026|estimate, total, canadian|people reporting ancestry
B04006_027|estimate, total, carpatho rusyn|people reporting ancestry
B04006_028|estimate, total, celtic|people reporting ancestry
B04006_029|estimate, total, croatian|people reporting ancestry
B04006_030|estimate, total, cypriot|people reporting ancestry
B04006_031|estimate, total, czech|people reporting ancestry
B04006_032|estimate, total, czechoslovakian|people reporting ancestry
B04006_033|estimate, total, danish|people reporting ancestry
B04006_034|estimate, total, dutch|people reporting ancestry
B04006_035|estimate, total, eastern european|people reporting ancestry
B04006_036|estimate, total, english|people reporting ancestry
B04006_037|estimate, total, estonian|people reporting ancestry
B04006_038|estimate, total, european|people reporting ancestry
B04006_039|estimate, total, finnish|people reporting ancestry
B04006_040|estimate, total, french (except basque)|people reporting ancestry
B04006_041|estimate, total, french canadian|people reporting ancestry
B04006_042|estimate, total, german|people reporting ancestry
B04006_043|estimate, total, german russian|people reporting ancestry
B04006_044|estimate, total, greek|people reporting ancestry
B04006_045|estimate, total, guyanese|people reporting ancestry
B04006_046|estimate, total, hungarian|people reporting ancestry
B04006_047|estimate, total, icelander|people reporting ancestry
B04006_048|estimate, total, iranian|people reporting ancestry
B04006_049|estimate, total, irish|people reporting ancestry
B04006_050|estimate, total, israeli|people reporting ancestry
B04006_051|estimate, total, italian|people reporting ancestry
B04006_052|estimate, total, latvian|people reporting ancestry
B04006_053|estimate, total, lithuanian|people reporting ancestry
B04006_054|estimate, total, luxemburger|people reporting ancestry
B04006_055|estimate, total, macedonian|people reporting ancestry
B04006_056|estimate, total, maltese|people reporting ancestry
B04006_057|estimate, total, new zealander|people reporting ancestry
B04006_058|estimate, total, northern european|people reporting ancestry
B04006_059|estimate, total, norwegian|people reporting ancestry
B04006_060|estimate, total, pennsylvania german|people reporting ancestry
B04006_061|estimate, total, polish|people reporting ancestry
B04006_062|estimate, total, portuguese|people reporting ancestry
B04006_063|estimate, total, romanian|people reporting ancestry
B04006_064|estimate, total, russian|people reporting ancestry
B04006_065|estimate, total, scandinavian|people reporting ancestry
B04006_066|estimate, total, scotch-irish|people reporting ancestry
B04006_067|estimate, total, scottish|people reporting ancestry
B04006_068|estimate, total, serbian|people reporting ancestry
B04006_069|estimate, total, slavic|people reporting ancestry
B04006_070|estimate, total, slovak|people reporting ancestry
B04006_071|estimate, total, slovene|people reporting ancestry
B04006_072|estimate, total, soviet union|people reporting ancestry
B04006_073|estimate, total, subsaharan african|people reporting ancestry
B04006_074|estimate, total, subsaharan african, cape verdean|people reporting ancestry
B04006_075|estimate, total, subsaharan african, ethiopian|people reporting ancestry
B04006_076|estimate, total, subsaharan african, ghanaian|people reporting ancestry
B04006_077|estimate, total, subsaharan african, kenyan|people reporting ancestry
B04006_078|estimate, total, subsaharan african, liberian|people reporting ancestry
B04006_079|estimate, total, subsaharan african, nigerian|people reporting ancestry
B04006_080|estimate, total, subsaharan african, senegalese|people reporting ancestry
B04006_081|estimate, total, subsaharan african, sierra leonean|people reporting ancestry
B04006_082|estimate, total, subsaharan african, somali|people reporting ancestry
B04006_083|estimate, total, subsaharan african, south african|people reporting ancestry
B04006_084|estimate, total, subsaharan african, sudanese|people reporting ancestry
B04006_085|estimate, total, subsaharan african, ugandan|people reporting ancestry
B04006_086|estimate, total, subsaharan african, zimbabwean|people reporting ancestry
B04006_087|estimate, total, subsaharan african, african|people reporting ancestry
B04006_088|estimate, total, subsaharan african, other subsaharan african|people reporting ancestry
B04006_089|estimate, total, swedish|people reporting ancestry
B04006_090|estimate, total, swiss|people reporting ancestry
B04006_091|estimate, total, turkish|people reporting ancestry
B04006_092|estimate, total, ukrainian|people reporting ancestry
B04006_093|estimate, total, welsh|people reporting ancestry
B04006_094|estimate, total, west indian (except hispanic groups)|people reporting ancestry
B04006_095|estimate, total, west indian (except hispanic groups), bahamian|people reporting ancestry
B04006_096|estimate, total, west indian (except hispanic groups), barbadian|people reporting ancestry
B04006_097|estimate, total, west indian (except hispanic groups), belizean|people reporting ancestry
B04006_098|estimate, total, west indian (except hispanic groups), bermudan|people reporting ancestry
B04006_099|estimate, total, west indian (except hispanic groups), british west indian|people reporting ancestry
B04006_100|estimate, total, west indian (except hispanic groups), dutch west indian|people reporting ancestry
B04006_101|estimate, total, west indian (except hispanic groups), haitian|people reporting ancestry
B04006_102|estimate, total, west indian (except hispanic groups), jamaican|people reporting ancestry
B04006_103|estimate, total, west indian (except hispanic groups), trinidadian and tobagonian|people reporting ancestry
B04006_104|estimate, total, west indian (except hispanic groups), u.s. virgin islander|people reporting ancestry
B04006_105|estimate, total, west indian (except hispanic groups), west indian|people reporting ancestry
B04006_106|estimate, total, west indian (except hispanic groups), other west indian|people reporting ancestry
B04006_107|estimate, total, yugoslavian|people reporting ancestry
B04006_108|estimate, total, other groups|people reporting ancestry
B04006_109|estimate, total, unclassified or not reported|people reporting ancestry
B04007_001|estimate, total|ancestry
B04007_002|estimate, total, ancestry specified|ancestry
B04007_003|estimate, total, ancestry specified, single ancestry|ancestry
B04007_004|estimate, total, ancestry specified, multiple ancestry|ancestry
B04007_005|estimate, total, ancestry not specified|ancestry
B04007_006|estimate, total, ancestry not specified, ancestry unclassified|ancestry
B04007_007|estimate, total, ancestry not specified, ancestry not reported|ancestry
B05001_001|estimate, total|nativity and citizenship status in the united states
B05001_002|estimate, total, u.s. citizen, born in the united states|nativity and citizenship status in the united states
B05001_003|estimate, total, u.s. citizen, born in puerto rico or u.s. island areas|nativity and citizenship status in the united states
B05001_004|estimate, total, u.s. citizen, born abroad of american parent(s)|nativity and citizenship status in the united states
B05001_005|estimate, total, u.s. citizen by naturalization|nativity and citizenship status in the united states
B05001_006|estimate, total, not a u.s. citizen|nativity and citizenship status in the united states
B05001PR_001|estimate, total|nativity and citizenship status in puerto rico
B05001PR_002|estimate, total, u.s. citizen, born in puerto rico|nativity and citizenship status in puerto rico
B05001PR_003|estimate, total, u.s. citizen, born in u.s. or u.s. island areas|nativity and citizenship status in puerto rico
B05001PR_004|estimate, total, u.s. citizen, born abroad of american parent(s)|nativity and citizenship status in puerto rico
B05001PR_005|estimate, total, u.s. citizen by naturalization|nativity and citizenship status in puerto rico
B05001PR_006|estimate, total, not a u.s. citizen|nativity and citizenship status in puerto rico
B05002_001|estimate, total|place of birth by nativity and citizenship status
B05002_002|estimate, total, native|place of birth by nativity and citizenship status
B05002_003|estimate, total, native, born in state of residence|place of birth by nativity and citizenship status
B05002_004|estimate, total, native, born in other state in the united states|place of birth by nativity and citizenship status
B05002_005|estimate, total, native, born in other state in the united states, northeast|place of birth by nativity and citizenship status
B05002_006|estimate, total, native, born in other state in the united states, midwest|place of birth by nativity and citizenship status
B05002_007|estimate, total, native, born in other state in the united states, south|place of birth by nativity and citizenship status
B05002_008|estimate, total, native, born in other state in the united states, west|place of birth by nativity and citizenship status
B05002_009|estimate, total, native, born outside the united states|place of birth by nativity and citizenship status
B05002_010|estimate, total, native, born outside the united states, puerto rico|place of birth by nativity and citizenship status
B05002_011|estimate, total, native, born outside the united states, u.s. island areas|place of birth by nativity and citizenship status
B05002_012|estimate, total, native, born outside the united states, born abroad of american parent(s)|place of birth by nativity and citizenship status
B05002_013|estimate, total, foreign born|place of birth by nativity and citizenship status
B05002_014|estimate, total, foreign born, naturalized u.s. citizen|place of birth by nativity and citizenship status
B05002_015|estimate, total, foreign born, naturalized u.s. citizen, europe|place of birth by nativity and citizenship status
B05002_016|estimate, total, foreign born, naturalized u.s. citizen, asia|place of birth by nativity and citizenship status
B05002_017|estimate, total, foreign born, naturalized u.s. citizen, africa|place of birth by nativity and citizenship status
B05002_018|estimate, total, foreign born, naturalized u.s. citizen, oceania|place of birth by nativity and citizenship status
B05002_019|estimate, total, foreign born, naturalized u.s. citizen, latin america|place of birth by nativity and citizenship status
B05002_020|estimate, total, foreign born, naturalized u.s. citizen, northern america|place of birth by nativity and citizenship status
B05002_021|estimate, total, foreign born, not a u.s. citizen|place of birth by nativity and citizenship status
B05002_022|estimate, total, foreign born, not a u.s. citizen, europe|place of birth by nativity and citizenship status
B05002_023|estimate, total, foreign born, not a u.s. citizen, asia|place of birth by nativity and citizenship status
B05002_024|estimate, total, foreign born, not a u.s. citizen, africa|place of birth by nativity and citizenship status
B05002_025|estimate, total, foreign born, not a u.s. citizen, oceania|place of birth by nativity and citizenship status
B05002_026|estimate, total, foreign born, not a u.s. citizen, latin america|place of birth by nativity and citizenship status
B05002_027|estimate, total, foreign born, not a u.s. citizen, northern america|place of birth by nativity and citizenship status
B05003_001|estimate, total|sex by age by nativity and citizenship status
B05003_002|estimate, total, male|sex by age by nativity and citizenship status
B05003_003|estimate, total, male, under 18 years|sex by age by nativity and citizenship status
B05003_004|estimate, total, male, under 18 years, native|sex by age by nativity and citizenship status
B05003_005|estimate, total, male, under 18 years, foreign born|sex by age by nativity and citizenship status
B05003_006|estimate, total, male, under 18 years, foreign born, naturalized u.s. citizen|sex by age by nativity and citizenship status
B05003_007|estimate, total, male, under 18 years, foreign born, not a u.s. citizen|sex by age by nativity and citizenship status
B05003_008|estimate, total, male, 18 years and over|sex by age by nativity and citizenship status
B05003_009|estimate, total, male, 18 years and over, native|sex by age by nativity and citizenship status
B05003_010|estimate, total, male, 18 years and over, foreign born|sex by age by nativity and citizenship status
B05003_011|estimate, total, male, 18 years and over, foreign born, naturalized u.s. citizen|sex by age by nativity and citizenship status
B05003_012|estimate, total, male, 18 years and over, foreign born, not a u.s. citizen|sex by age by nativity and citizenship status
B05003_013|estimate, total, female|sex by age by nativity and citizenship status
B05003_014|estimate, total, female, under 18 years|sex by age by nativity and citizenship status
B05003_015|estimate, total, female, under 18 years, native|sex by age by nativity and citizenship status
B05003_016|estimate, total, female, under 18 years, foreign born|sex by age by nativity and citizenship status
B05003_017|estimate, total, female, under 18 years, foreign born, naturalized u.s. citizen|sex by age by nativity and citizenship status
B05003_018|estimate, total, female, under 18 years, foreign born, not a u.s. citizen|sex by age by nativity and citizenship status
B05003_019|estimate, total, female, 18 years and over|sex by age by nativity and citizenship status
B05003_020|estimate, total, female, 18 years and over, native|sex by age by nativity and citizenship status
